z      f/f0
0.202    1.570
0.274    1.614
0.362    1.096
0.460    5.105
0.571    2.511
0.659    3.564
0.737    1.342
0.832    1.106
0.955    1.887
1.056    1.213
1.182    1.180
1.288    1.541
1.400    1.086
1.543    1.028
1.664    1.393
1.810    2.831
1.976    2.910
2.134    1.406
2.442    1.644
0.217    3.250
0.298    1.330
0.373    1.191
0.479    1.706
0.582    2.089
0.672    2.511
0.754    1.076
0.847    1.527
0.973    2.208
1.072    1.803
1.205    1.393
1.313    1.028
1.440    1.127
1.559    1.202
1.684    1.158
1.844    1.018
2.005    1.106
2.187    2.089
2.523    1.000
0.225    2.884
0.315    2.032
0.385    2.937
0.492    1.629
0.590    1.599
0.679    2.013
0.774    1.753
0.874    1.158
0.993    2.558
1.092    1.330
1.220    1.247
1.332    1.037
1.455    1.009
1.583    1.819
1.700    1.513
1.878    2.208
2.035    1.306
2.244    1.202
2.595    1.393
0.237    3.630
0.322    1.066
0.402    2.355
0.507    1.940
0.609    1.406
0.692    1.294
0.781    2.128
0.892    1.202
1.012    1.355
1.115    1.342
1.234    1.342
1.343    1.235
1.469    1.056
1.593    1.294
1.727    1.629
1.913    2.606
2.075    1.887
2.297    1.106
2.649    1.282
0.246    1.213
0.332    1.976
0.433    1.853
0.530    1.472
0.624    1.018
0.714    1.294
0.791    2.779
0.913    2.167
1.025    1.247
1.140    1.086
1.247    2.535
1.376    2.779
1.487    1.330
1.619    1.614
1.756    1.137
1.941    1.342
2.092    1.958
2.329    1.009
2.786    1.527
0.259    1.330
0.351    1.018
0.449    4.168
0.549    1.419
0.641    1.018
0.723    1.584
0.803    2.421
0.934    1.629
1.040    1.318
1.152    1.180
1.263    1.047
1.388    1.202
1.511    1.330
1.641    3.047
1.776    1.355
1.961    1.555
2.106    1.367
2.388    1.737
2.936    1.445
